sample	read_technology	coverage	dataset	reference	aligner	preset	mapper_tag	configuration	statistics_file	cram_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	reads_mq0	reads_mq0_percent	mapq_mean	mapq_median	secondary_alignments	secondary_alignments_per_100_mapped_reads	supplementary_alignments	supplementary_alignments_per_100_mapped_reads	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertion_events	deletion_events	inserted_bases	deleted_bases	insertion_events_per_100kb	deletion_events_per_100kb	soft_clipped_bases	soft_clipped_percent	average_length	maximum_length	mean_coverage	median_coverage	breadth_1x_percent	breadth_10x_percent	breadth_20x_percent	breadth_30x_percent	runtime_seconds	peak_ram_mb	threads	aligner_version	samtools_version	aligner_docker_image	samtools_docker_image	metrics_complete	missing_metrics
HG003	ONT	30x	HG003.ont.30x	hg38	minimap2	map-ont	mm2-ont	mm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	NA	6938685	6534420	404265	94.173752	62459	0.955846	NA	NA	2209813	33.818044	564497	8.638823	94906798668	94643907161	94296387842	99.723	2647718996	0.028079	2.807869	NA	NA	NA	NA	NA	NA	NA	NA	13678	1365688	NA	NA	NA	NA	NA	NA	9139.646	37361.664	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	30x	HG003.ont.30x	hg38	pbmm2	SUBREAD	pbmm2-ont	pbmm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	NA	6938685	6509045	429640	93.808049	54901	0.843457	NA	NA	0	0	579684	8.905823	94906798668	94557542126	93653338869	99.632001	2331047806	0.02489	2.489017	NA	NA	NA	NA	NA	NA	NA	NA	13678	1365688	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	30x	HG003.ont.30x	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.ont.30x.hg38.vacmap-ont.cram.stats	NA	6428625	6428625	0	100	127832	1.988481	57.686916	60	0	0	4114801	64.007482	94171462471	94171462471	93096950059	100	1379388723	0.014817	1.481669	143924303	197448698	255471058	393409608	154.596153	212.08933	NA	NA	14649	1365688	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	30x	HG003.ont.30x	hg38	VG Giraffe	vg-ont	vg-ont	vg-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.ont.30x.hg38.vg-ont.cram.stats	NA	6938685	6439363	499322	92.803795	118442	1.839343	NA	NA	0	0	0	0	94906798668	90452716036	87970816405	95.306888	1775550287	0.020183	2.01834	128969664	165286778	315124787	377011524	146.605055	187.888194	NA	NA	13677	1365688	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	1k	HG003.pb.1k	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	alignment_analysis/tables/HG003.pb.1k.pbmm2-ccs.samtools_stats.txt	NA	1000	1000	0	100	43	4.3	36.648	49.5	0	0	104	10.4	14032604	14032604	13886669	100	210242	0.01514	1.513984	11288	10070	50590	25851	81.286592	72.51559	NA	NA	14033	32907	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	30x	HG003.pb.30x	hg38	minimap2	map-hifi	mm2-pb	mm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	NA	6621583	6607336	14247	99.78484	9259	0.140132	NA	NA	1471627	22.272622	251272	3.802925	93293694245	93143250746	93073206292	99.838742	1250359813	0.013434	1.343415	NA	NA	NA	NA	NA	NA	NA	NA	14089	49762	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	30x	HG003.pb.30x	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	NA	6621583	6619070	2513	99.962048	9379	0.141697	NA	NA	0	0	351521	5.310731	93293694245	93268858653	92847445611	99.973379	1095509707	0.011799	1.179903	NA	NA	NA	NA	NA	NA	NA	NA	14089	49762	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	30x	HG003.pb.30x	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.pb.30x.hg38.vacmap-pb.cram.stats	NA	6590883	6590883	0	100	81763	1.240547	58.755129	60	0	0	2772887	42.071556	92941941630	92941941630	92734592987	100	644784006	0.006953	0.6953	73087977	66277465	112245012	128274952	78.814145	71.470055	NA	NA	14102	49762	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	30x	HG003.pb.30x	hg38	VG Giraffe	vg-pb	vg-pb	vg-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.pb.30x.hg38.vg-pb.cram.stats	NA	6621583	6602757	18826	99.715687	28591	0.433016	NA	NA	0	0	0	0	93293694245	93070386820	92386682869	99.76064	977409807	0.01058	1.057955	77525623	69743433	202077176	189799825	83.914284	75.490786	NA	NA	14089	49762	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	1k	HG004.ont.1k	hg38	pbmm2	SUBREAD	pbmm2-ont	pbmm2-ont	alignment_analysis/tables/HG004.ont.1k.pbmm2-subread.samtools_stats.txt	NA	1000	992	8	99.2	207	20.866935	25.78629	17.5	0	0	202	20.362903	13605899	13603937	13082137	99.98558	454494	0.034742	3.474157	24871	34675	89633	69645	190.114199	265.056084	NA	NA	13606	78490	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	minimap2	map-ont	mm2-ont	mm2-ont	samtools_stats_30x_Christian/HG004_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	NA	7046468	6741526	304942	95.672413	58199	0.863291	NA	NA	2005935	29.75491	442022	6.556705	93459874103	93244324332	92835949268	99.769367	2621022211	0.028233	2.823284	NA	NA	NA	NA	NA	NA	NA	NA	13263	1700750	NA	NA	NA	NA	NA	NA	8551.642	39037.952	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	pbmm2	SUBREAD	pbmm2-ont	pbmm2-ont	samtools_stats_30x_Christian/HG004_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	NA	7046468	6718367	328101	95.343752	52433	0.780443	NA	NA	0	0	513189	7.638597	93459874103	93162323710	92288524529	99.681628	2325377914	0.025197	2.519682	NA	NA	NA	NA	NA	NA	NA	NA	13263	1700750	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG004.ont.30x.hg38.vacmap-ont.cram.stats	NA	6630815	6630815	0	100	111031	1.67447	58.019726	60	0	0	3979871	60.020842	92775444750	92775444750	91682370246	100	1356167535	0.014792	1.479202	148141306	206070162	260149321	411639096	161.581017	224.765308	NA	NA	13992	1334475	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	ONT	30x	HG004.ont.30x	hg38	VG Giraffe	vg-ont	vg-ont	vg-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG004.ont.30x.hg38.vg-ont.cram.stats	NA	7046468	6616356	430112	93.896063	94928	1.434747	NA	NA	0	0	0	0	93459874103	89347659978	87357823095	95.600022	1782054868	0.020399	2.039949	135314123	178741299	330638578	442191919	154.8964	204.608234	NA	NA	13263	1700750	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	1k	HG004.pb.1k	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	alignment_analysis/tables/HG004.pb.1k.pbmm2-ccs.samtools_stats.txt	NA	1000	1000	0	100	35	3.5	37.933	54.5	0	0	56	5.6	14370953	14370953	14251638	100	247926	0.017396	1.739632	11831	10621	49667	27949	83.015019	74.524767	NA	NA	14371	32998	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	minimap2	map-hifi	mm2-pb	mm2-pb	samtools_stats_30x_Christian/HG004_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	NA	6491546	6477717	13829	99.786969	9167	0.141516	NA	NA	1257655	19.415096	227070	3.505402	93684058210	93543426134	93484009557	99.849887	1192442444	0.012756	1.275558	NA	NA	NA	NA	NA	NA	NA	NA	14432	46029	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	samtools_stats_30x_Christian/HG004_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	NA	6491546	6489571	1975	99.969576	9274	0.142906	NA	NA	0	0	328462	5.061382	93684058210	93665424495	93277553639	99.98011	1057309585	0.011335	1.133509	NA	NA	NA	NA	NA	NA	NA	NA	14432	46029	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG004.pb.30x.hg38.vacmap-pb.cram.stats	NA	6465579	6465579	0	100	65151	1.007659	58.976365	60	0	0	2768002	42.811355	93391532444	93391532444	93234395565	100	595946684	0.006392	0.639192	76420235	71847081	113841627	129459951	81.965711	77.060703	NA	NA	14444	46029	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG004	PacBio	30x	HG004.pb.30x	hg38	VG Giraffe	vg-pb	vg-pb	vg-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG004.pb.30x.hg38.vg-pb.cram.stats	NA	6491546	6474250	17296	99.733561	20138	0.311048	NA	NA	0	0	0	0	93684058210	93479245879	92825159183	99.78138	933595539	0.010058	1.005757	80757772	75230355	200119361	189770008	86.999875	81.045221	NA	NA	14431	46029	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
