Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,459792,65677,796349,41528,279978,20018,13496,0.875013,0.919577,0.351577,0.896742,,,1.52827573414,1.93640987119
INDEL,PASS,525469,459792,65677,796349,41528,279978,20018,13496,0.875013,0.919577,0.351577,0.896742,,,1.52827573414,1.93640987119
SNP,ALL,3365127,3361272,3855,4113015,4696,745639,846,1176,0.998854,0.998605,0.181288,0.99873,2.10012848676,1.89349910421,1.58119585325,1.36710375048
SNP,PASS,3365127,3361272,3855,4113015,4696,745639,846,1176,0.998854,0.998605,0.181288,0.99873,2.10012848676,1.89349910421,1.58119585325,1.36710375048
