Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,433465,92004,1109962,221300,442272,35214,50806,0.824911,0.668559,0.398457,0.73855,,,1.52827573414,4.00487484766
INDEL,PASS,525469,433465,92004,1109962,221300,442272,35214,50806,0.824911,0.668559,0.398457,0.73855,,,1.52827573414,4.00487484766
SNP,ALL,3365127,3359087,6040,4243865,9520,871030,1483,1887,0.998205,0.997177,0.205245,0.997691,2.10012848676,1.88999766506,1.58119585325,1.62077579442
SNP,PASS,3365127,3359087,6040,4243865,9520,871030,1483,1887,0.998205,0.997177,0.205245,0.997691,2.10012848676,1.88999766506,1.58119585325,1.62077579442
