Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,437220,88249,750082,30759,267534,8696,15209,0.832057,0.936257,0.356673,0.881087,,,1.52827573414,1.8621707397
INDEL,PASS,525469,437220,88249,750082,30759,267534,8696,15209,0.832057,0.936257,0.356673,0.881087,,,1.52827573414,1.8621707397
SNP,ALL,3365127,3354289,10838,4667488,8190,1303425,1158,2298,0.996779,0.997565,0.279256,0.997172,2.10012848676,1.69434505397,1.58119585325,1.69293028287
SNP,PASS,3365127,3354289,10838,4667488,8190,1303425,1158,2298,0.996779,0.997565,0.279256,0.997172,2.10012848676,1.69434505397,1.58119585325,1.69293028287
