Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,497844,27625,862051,15877,332306,10728,3348,0.947428,0.970029,0.385483,0.958595,,,1.52827573414,1.96802629452
INDEL,PASS,525469,497844,27625,862051,15877,332306,10728,3348,0.947428,0.970029,0.385483,0.958595,,,1.52827573414,1.96802629452
SNP,ALL,3365127,3361148,3979,4011689,3290,643043,1141,654,0.998818,0.999023,0.160292,0.99892,2.10012848676,1.94740575858,1.58119585325,1.46549008683
SNP,PASS,3365127,3361148,3979,4011689,3290,643043,1141,654,0.998818,0.999023,0.160292,0.99892,2.10012848676,1.94740575858,1.58119585325,1.46549008683
