Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,159539,365930,919123,450403,302022,31783,70928,0.303613,0.270131,0.328598,0.285895,,,1.52827573414,10.6295292701
INDEL,PASS,525469,159539,365930,919123,450403,302022,31783,70928,0.303613,0.270131,0.328598,0.285895,,,1.52827573414,10.6295292701
SNP,ALL,3365127,1270880,2094247,1557588,13318,272100,3960,2333,0.377662,0.98964,0.174693,0.546696,2.10012848676,1.91264246632,1.58119585325,1.57840953319
SNP,PASS,3365127,1270880,2094247,1557588,13318,272100,3960,2333,0.377662,0.98964,0.174693,0.546696,2.10012848676,1.91264246632,1.58119585325,1.57840953319
