Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,389221,136248,1767131,868983,496472,78554,82382,0.740712,0.316116,0.280948,0.44312,,,1.52827573414,10.4537160906
INDEL,PASS,525469,389221,136248,1767131,868983,496472,78554,82382,0.740712,0.316116,0.280948,0.44312,,,1.52827573414,10.4537160906
SNP,ALL,3365127,3344561,20566,4050714,21720,680904,11346,5576,0.993888,0.993555,0.168095,0.993721,2.10012848676,1.93976171927,1.58119585325,1.51203811387
SNP,PASS,3365127,3344561,20566,4050714,21720,680904,11346,5576,0.993888,0.993555,0.168095,0.993721,2.10012848676,1.93976171927,1.58119585325,1.51203811387
