Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,363063,162406,1077935,384928,321021,64251,41003,0.690931,0.491451,0.297811,0.574364,,,1.52827573414,5.47909120643
INDEL,PASS,525469,363063,162406,1077935,384928,321021,64251,41003,0.690931,0.491451,0.297811,0.574364,,,1.52827573414,5.47909120643
SNP,ALL,3365127,3299990,65137,3897680,15647,581093,13299,1333,0.980644,0.995282,0.149087,0.987909,2.10012848676,1.93912324509,1.58119585325,1.34313399918
SNP,PASS,3365127,3299990,65137,3897680,15647,581093,13299,1333,0.980644,0.995282,0.149087,0.987909,2.10012848676,1.93912324509,1.58119585325,1.34313399918
