Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,433341,92128,1108548,220746,441528,35208,50789,0.824675,0.669056,0.398294,0.738759,,,1.52827573414,3.99770798082
INDEL,PASS,525469,433341,92128,1108548,220746,441528,35208,50789,0.824675,0.669056,0.398294,0.738759,,,1.52827573414,3.99770798082
SNP,ALL,3365127,3359098,6029,4233225,10096,859830,1480,1929,0.998208,0.997007,0.203115,0.997607,2.10012848676,1.89460563839,1.58119585325,1.62241076675
SNP,PASS,3365127,3359098,6029,4233225,10096,859830,1480,1929,0.998208,0.997007,0.203115,0.997607,2.10012848676,1.89460563839,1.58119585325,1.62241076675
