Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,522450,3019,991285,3185,445840,1498,1116,0.994255,0.994161,0.44976,0.994208,,,1.52827573414,1.99674823771
INDEL,PASS,525469,522450,3019,991285,3185,445840,1498,1116,0.994255,0.994161,0.44976,0.994208,,,1.52827573414,1.99674823771
SNP,ALL,3365127,3361938,3189,4319405,2351,949905,719,249,0.999052,0.999302,0.219916,0.999177,2.10012848676,1.79324580068,1.58119585325,1.27270941761
SNP,PASS,3365127,3361938,3189,4319405,2351,949905,719,249,0.999052,0.999302,0.219916,0.999177,2.10012848676,1.79324580068,1.58119585325,1.27270941761
