Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,188633,336836,533634,107336,227210,9367,14591,0.35898,0.649714,0.425779,0.462448,,,1.52827573414,3.63324035461
INDEL,PASS,525469,188633,336836,533634,107336,227210,9367,14591,0.35898,0.649714,0.425779,0.462448,,,1.52827573414,3.63324035461
SNP,ALL,3365127,1281649,2083478,1598893,2821,314091,847,586,0.380862,0.997804,0.196443,0.551295,2.10012848676,1.84989451778,1.58119585325,1.55577519119
SNP,PASS,3365127,1281649,2083478,1598893,2821,314091,847,586,0.380862,0.997804,0.196443,0.551295,2.10012848676,1.84989451778,1.58119585325,1.55577519119
