Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,448940,76529,955912,105995,387069,62752,5823,0.854361,0.813666,0.404921,0.833517,,,1.52827573414,3.94104561796
INDEL,PASS,525469,448940,76529,955912,105995,387069,62752,5823,0.854361,0.813666,0.404921,0.833517,,,1.52827573414,3.94104561796
SNP,ALL,3365127,3321554,43573,3855822,6937,523685,5821,744,0.987052,0.997918,0.135817,0.992455,2.10012848676,1.97220687535,1.58119585325,1.43081688805
SNP,PASS,3365127,3321554,43573,3855822,6937,523685,5821,744,0.987052,0.997918,0.135817,0.992455,2.10012848676,1.97220687535,1.58119585325,1.43081688805
