Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,437925,87544,758314,28433,278892,8506,13036,0.833398,0.940693,0.367779,0.883801,,,1.52827573414,1.85535787148
INDEL,PASS,525469,437925,87544,758314,28433,278892,8506,13036,0.833398,0.940693,0.367779,0.883801,,,1.52827573414,1.85535787148
SNP,ALL,3365127,3354281,10846,4508797,7602,1145203,1072,1810,0.996777,0.99774,0.253993,0.997258,2.10012848676,1.74442253744,1.58119585325,1.67259872784
SNP,PASS,3365127,3354281,10846,4508797,7602,1145203,1072,1810,0.996777,0.99774,0.253993,0.997258,2.10012848676,1.74442253744,1.58119585325,1.67259872784
