Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,518093,7376,1006944,8257,459406,3818,2086,0.985963,0.98492,0.456238,0.985441,,,1.52827573414,2.10701862413
INDEL,PASS,525469,518093,7376,1006944,8257,459406,3818,2086,0.985963,0.98492,0.456238,0.985441,,,1.52827573414,2.10701862413
SNP,ALL,3365127,3360394,4733,4307248,6209,938243,587,544,0.998594,0.998157,0.217829,0.998375,2.10012848676,1.85362735995,1.58119585325,1.63781881413
SNP,PASS,3365127,3360394,4733,4307248,6209,938243,587,544,0.998594,0.998157,0.217829,0.998375,2.10012848676,1.85362735995,1.58119585325,1.63781881413
