Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,361209,164260,1050160,383639,297973,65139,39904,0.687403,0.489969,0.283741,0.572132,,,1.52827573414,5.74471113411
INDEL,PASS,525469,361209,164260,1050160,383639,297973,65139,39904,0.687403,0.489969,0.283741,0.572132,,,1.52827573414,5.74471113411
SNP,ALL,3365127,3301653,63474,3849826,16594,529069,13118,2291,0.981138,0.995003,0.137427,0.988022,2.10012848676,1.97312597028,1.58119585325,1.40951701032
SNP,PASS,3365127,3301653,63474,3849826,16594,529069,13118,2291,0.981138,0.995003,0.137427,0.988022,2.10012848676,1.97312597028,1.58119585325,1.40951701032
