Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,522495,2974,1017149,3274,469078,1489,1192,0.99434,0.994026,0.461169,0.994183,,,1.52827573414,2.01862036914
INDEL,PASS,525469,522495,2974,1017149,3274,469078,1489,1192,0.99434,0.994026,0.461169,0.994183,,,1.52827573414,2.01862036914
SNP,ALL,3365127,3362074,3053,4220351,2384,853587,679,199,0.999093,0.999292,0.202255,0.999192,2.10012848676,1.8333154392,1.58119585325,1.31391190513
SNP,PASS,3365127,3362074,3053,4220351,2384,853587,679,199,0.999093,0.999292,0.202255,0.999192,2.10012848676,1.8333154392,1.58119585325,1.31391190513
