Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,479235,46234,867898,9876,358968,4835,4666,0.912014,0.980595,0.413606,0.945062,,,1.52827573414,1.68451392468
INDEL,PASS,525469,479235,46234,867898,9876,358968,4835,4666,0.912014,0.980595,0.413606,0.945062,,,1.52827573414,1.68451392468
SNP,ALL,3365127,3351953,13174,4393946,3805,1036615,865,880,0.996085,0.998867,0.235919,0.997474,2.10012848676,1.77919946075,1.58119585325,1.6266569148
SNP,PASS,3365127,3351953,13174,4393946,3805,1036615,865,880,0.996085,0.998867,0.235919,0.997474,2.10012848676,1.77919946075,1.58119585325,1.6266569148
