Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,477267,48202,832975,6925,334128,4691,1890,0.908269,0.986118,0.401126,0.945594,,,1.52827573414,1.6547826515
INDEL,PASS,525469,477267,48202,832975,6925,334128,4691,1890,0.908269,0.986118,0.401126,0.945594,,,1.52827573414,1.6547826515
SNP,ALL,3365127,3351605,13522,4153641,3827,793432,842,712,0.995982,0.998861,0.191021,0.997419,2.10012848676,1.88314998463,1.58119585325,1.61271948013
SNP,PASS,3365127,3351605,13522,4153641,3827,793432,842,712,0.995982,0.998861,0.191021,0.997419,2.10012848676,1.88314998463,1.58119585325,1.61271948013
