Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,479294,46175,872010,7095,368552,4621,2002,0.912126,0.985907,0.422647,0.947583,,,1.52827573414,1.67617799394
INDEL,PASS,525469,479294,46175,872010,7095,368552,4621,2002,0.912126,0.985907,0.422647,0.947583,,,1.52827573414,1.67617799394
SNP,ALL,3365127,3352636,12491,4277104,4534,917759,679,552,0.996288,0.99865,0.214575,0.997468,2.10012848676,1.82108544879,1.58119585325,1.62508043284
SNP,PASS,3365127,3352636,12491,4277104,4534,917759,679,552,0.996288,0.99865,0.214575,0.997468,2.10012848676,1.82108544879,1.58119585325,1.62508043284
