Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525469,495514,29955,857866,16075,328248,10863,3351,0.942994,0.969648,0.382633,0.956135,,,1.52827573414,1.93236727037
INDEL,PASS,525469,495514,29955,857866,16075,328248,10863,3351,0.942994,0.969648,0.382633,0.956135,,,1.52827573414,1.93236727037
SNP,ALL,3365127,3361209,3918,4057139,3301,690849,1081,499,0.998836,0.999019,0.17028,0.998928,2.10012848676,1.91676014144,1.58119585325,1.40149887987
SNP,PASS,3365127,3361209,3918,4057139,3301,690849,1081,499,0.998836,0.999019,0.17028,0.998928,2.10012848676,1.91676014144,1.58119585325,1.40149887987
